Rk,School,Conf,,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
225,Sam Houston State,Southland,,19,14,71.1,68.1,3.00,,-5.03,,-5.66,0.43,-5.23,98.76,105.13,-6.37
226,Southeastern Louisiana,Southland,,22,11,72.5,68.7,3.82,,-6.58,,-6.24,0.93,-5.31,99.10,105.18,-6.07
227,James Madison,CAA,,10,22,73.2,75.4,-2.28,,-2.13,,-2.68,-2.78,-5.45,99.55,106.13,-6.57
228,Idaho State,Big Sky,,14,16,73.7,74.4,-0.70,,-3.42,,-3.20,-2.29,-5.50,101.12,107.83,-6.72
229,Columbia,Ivy,,8,19,76.4,77.2,-0.85,,-2.93,,1.84,-7.38,-5.55,104.78,111.58,-6.80
230,Texas State,Sun Belt,,15,18,66.4,65.8,0.55,,-3.16,,-10.24,4.69,-5.55,97.61,104.54,-6.93
231,Louisiana-Monroe,Sun Belt,,16,15,70.0,68.0,2.00,,-3.00,,-6.03,0.46,-5.57,99.19,106.35,-7.16
232,Texas-El Paso,CUSA,,11,20,67.5,70.9,-3.32,,-0.47,,-6.90,1.33,-5.57,96.40,103.20,-6.80
233,Tennessee Tech,OVC,,19,14,73.1,72.4,0.76,,-3.34,,-3.00,-2.63,-5.63,96.24,103.15,-6.91
234,Florida Atlantic,CUSA,,12,19,69.5,70.1,-0.55,,-0.52,,-6.42,0.69,-5.73,93.92,101.28,-7.36
235,Pepperdine,WCC,,6,26,71.3,78.6,-7.28,,2.23,,-0.85,-5.25,-6.09,103.90,111.93,-8.03
236,Portland,WCC,,10,22,69.4,74.1,-4.72,,2.92,,-4.71,-1.41,-6.12,99.00,106.71,-7.71
237,Cal State Bakersfield,WAC,,12,18,66.0,68.9,-2.90,,-0.33,,-9.41,3.23,-6.18,94.78,102.52,-7.74
238,Lehigh,Patriot,,16,14,77.9,77.8,0.10,,-5.42,,2.98,-9.16,-6.18,101.92,109.81,-7.88
239,Campbell,Big South,,16,15,75.8,70.7,5.16,,-7.01,,-2.14,-4.09,-6.23,102.37,109.45,-7.08
240,Bowling Green State,MAC (East),,16,16,75.9,77.8,-1.91,,-2.76,,-0.46,-5.80,-6.26,99.41,107.21,-7.80
241,Oral Roberts,Summit,,11,21,72.9,77.6,-4.75,,1.41,,-2.27,-4.03,-6.30,102.68,111.17,-8.49
242,Fordham,A-10,,9,22,62.3,70.3,-8.00,,1.46,,-9.58,3.05,-6.54,94.76,104.12,-9.36
243,Santa Clara,WCC,,11,20,66.1,71.7,-5.68,,1.04,,-8.10,1.51,-6.58,98.94,108.28,-9.34
244,Northern Illinois,MAC (West),,13,19,72.5,75.2,-2.75,,-1.65,,-3.26,-3.39,-6.65,101.12,109.65,-8.53
245,Akron,MAC (East),,14,18,71.8,75.3,-3.59,,-1.78,,-3.42,-3.26,-6.68,99.63,107.92,-8.29
246,High Point,Big South,,14,16,70.9,66.4,4.43,,-6.42,,-7.61,0.82,-6.79,96.94,105.27,-8.34
247,Navy,Patriot,,20,12,68.7,66.4,2.31,,-7.08,,-8.94,2.15,-6.79,96.11,104.30,-8.20
248,Elon,CAA,,14,18,73.3,76.2,-2.84,,-1.64,,-1.66,-5.18,-6.84,100.99,109.88,-8.89
249,Delaware,CAA,,14,19,70.8,73.6,-2.73,,-2.89,,-5.61,-1.25,-6.86,100.08,108.93,-8.85
250,South Florida,AAC,,10,22,63.3,70.6,-7.31,,0.32,,-8.89,1.90,-6.99,96.76,106.27,-9.51
251,Drexel,CAA,,13,20,74.4,78.5,-4.15,,-2.37,,-1.51,-5.58,-7.09,100.00,108.93,-8.93
252,NJIT,A-Sun,,14,16,74.9,73.2,1.70,,-5.37,,-6.32,-0.77,-7.09,97.19,105.77,-8.59
253,Southern Utah,Big Sky,,13,19,75.5,80.7,-5.22,,-0.52,,0.83,-8.12,-7.29,100.31,109.17,-8.87
254,North Dakota,Big Sky,,12,20,75.8,81.6,-5.78,,0.09,,2.06,-9.40,-7.34,100.75,109.26,-8.50
255,Texas-Rio Grande Valley,WAC,,15,17,75.5,78.3,-2.84,,-2.43,,1.33,-8.69,-7.36,97.22,106.05,-8.82
256,North Carolina-Wilmington,CAA,,11,21,79.4,83.4,-3.94,,-1.11,,3.80,-11.27,-7.47,102.67,111.71,-9.04
257,Robert Morris,NEC,,16,17,68.8,70.7,-1.88,,-5.69,,-7.54,-0.03,-7.57,92.29,101.76,-9.48
258,Brown,Ivy,,11,16,77.0,79.0,-1.96,,-4.47,,0.61,-8.20,-7.59,98.88,108.54,-9.66
259,Mount St. Mary's,NEC,,18,14,72.8,71.9,0.94,,-7.64,,-5.78,-1.97,-7.74,101.13,110.64,-9.50
260,Texas Southern,SWAC,,15,19,77.6,79.7,-2.09,,-5.84,,2.35,-10.28,-7.93,102.30,112.44,-10.14
261,Southeast Missouri State,OVC,,14,17,76.0,77.8,-1.87,,-4.70,,2.21,-10.15,-7.94,105.85,116.24,-10.39
262,Long Island University,NEC,,18,16,77.5,76.6,0.94,,-7.95,,0.34,-8.41,-8.07,100.08,110.25,-10.18
263,UC-Riverside,Big West,,9,22,65.3,69.8,-4.48,,-1.20,,-8.84,0.68,-8.16,91.84,102.32,-10.48
264,Eastern Illinois,OVC,,12,19,66.6,68.4,-1.77,,-3.24,,-8.53,0.36,-8.17,96.47,106.91,-10.43
265,Charleston Southern,Big South,,15,16,72.0,68.8,3.19,,-6.22,,-6.71,-1.51,-8.22,96.70,107.29,-10.59
266,Boston University,Patriot,,15,16,70.5,71.8,-1.29,,-5.74,,-5.71,-2.53,-8.24,97.39,108.48,-11.09
267,New Hampshire,AEC,,10,21,67.8,67.3,0.58,,-4.18,,-8.79,0.54,-8.25,96.18,106.89,-10.72
268,East Carolina,AAC,,10,20,66.4,74.9,-8.50,,0.05,,-4.61,-3.84,-8.45,96.07,107.29,-11.22
269,San Jose State,MWC,,4,26,65.8,75.3,-9.53,,3.21,,-7.92,-0.53,-8.45,94.73,106.35,-11.62
270,Montana State,Big Sky,,13,19,76.1,78.9,-2.81,,-3.29,,-1.84,-6.62,-8.46,99.43,110.37,-10.94
271,Army,Patriot,,13,17,74.3,74.1,0.23,,-7.09,,-2.87,-5.67,-8.53,97.19,108.37,-11.18
272,Green Bay,Horizon,,13,20,76.3,75.7,0.55,,-4.11,,-0.92,-7.62,-8.54,96.59,106.75,-10.16
273,Hampton,MEAC,,19,15,79.3,75.2,4.12,,-9.99,,-1.13,-7.45,-8.57,97.04,107.78,-10.74
274,Sacramento State,Big Sky,,7,25,67.4,73.7,-6.28,,-0.42,,-7.97,-0.62,-8.59,97.02,108.58,-11.56
275,Cornell,Ivy,,12,16,75.9,80.4,-4.50,,-3.10,,0.74,-9.40,-8.65,101.55,112.53,-10.98
276,New Orleans,Southland,,15,16,69.4,70.2,-0.84,,-5.42,,-8.42,-0.51,-8.92,95.01,106.67,-11.66
277,Rice,CUSA,,7,24,68.2,75.7,-7.52,,-0.35,,-5.79,-3.14,-8.93,96.50,108.16,-11.66
278,Abilene Christian,Southland,,16,15,73.7,70.9,2.81,,-6.80,,-6.36,-2.59,-8.95,95.19,106.62,-11.42
279,Quinnipiac,MAAC,,12,21,71.6,76.7,-5.06,,-4.14,,-3.98,-5.22,-9.20,99.38,111.42,-12.03
280,Arkansas State,Sun Belt,,11,21,74.0,78.8,-4.81,,-2.72,,-0.44,-8.91,-9.35,101.46,113.41,-11.95
281,Massachusetts-Lowell,AEC,,12,18,76.2,78.5,-2.33,,-5.70,,0.92,-10.37,-9.46,101.12,113.75,-12.63
282,Nebraska-Omaha,Summit,,9,22,76.5,83.5,-6.94,,0.75,,0.97,-10.42,-9.46,101.25,112.95,-11.70
283,Gardner-Webb,Big South,,14,18,70.6,72.1,-1.53,,-3.74,,-6.62,-3.02,-9.64,94.69,106.38,-11.68
284,Lafayette,Patriot,,10,21,71.2,74.4,-3.23,,-5.96,,-4.42,-5.27,-9.69,98.71,111.64,-12.93
285,Holy Cross,Patriot,,12,19,63.6,67.7,-4.10,,-5.70,,-11.66,1.87,-9.80,95.40,109.30,-13.91
286,IUPUI,Horizon,,11,19,68.2,72.7,-4.43,,-3.51,,-8.22,-1.58,-9.80,95.99,108.51,-12.52
287,Missouri-Kansas City,WAC,,10,22,70.3,76.5,-6.13,,-0.68,,-5.33,-4.53,-9.85,95.43,107.38,-11.96
288,Prairie View,SWAC,,16,18,75.3,76.7,-1.47,,-7.57,,-2.14,-7.85,-10.00,97.22,109.63,-12.41
289,Fairleigh Dickinson,NEC,,13,18,74.6,75.8,-1.19,,-5.26,,-2.46,-7.56,-10.02,99.01,111.81,-12.81
290,Arkansas-Little Rock,Sun Belt,,7,25,63.7,70.1,-6.38,,-1.90,,-11.79,1.65,-10.13,91.64,105.66,-14.03
291,Dartmouth,Ivy,,7,20,68.2,73.0,-4.78,,-3.84,,-7.52,-2.63,-10.14,96.87,110.49,-13.62
292,Siena,MAAC,,8,24,67.7,75.2,-7.47,,-2.71,,-7.39,-2.79,-10.18,94.82,107.97,-13.15
293,Binghamton,AEC,,11,20,69.3,70.4,-1.10,,-6.28,,-8.50,-1.71,-10.21,95.42,109.01,-13.59
294,Tennessee-Martin,OVC,,10,21,68.9,72.7,-3.81,,-4.79,,-9.08,-1.26,-10.34,93.21,107.02,-13.81
295,Charlotte,CUSA,,6,23,71.2,79.9,-8.66,,-0.05,,-2.43,-8.01,-10.44,97.28,110.77,-13.49
296,Eastern Kentucky,OVC,,11,20,71.9,76.5,-4.55,,-3.57,,-4.09,-6.37,-10.46,98.45,112.38,-13.93
297,Morehead State,OVC,,8,21,70.4,76.0,-5.55,,-1.75,,-5.82,-4.67,-10.49,96.03,109.64,-13.61
298,Western Illinois,Summit,,12,16,71.9,71.8,0.11,,-1.96,,-7.71,-3.04,-10.75,93.33,107.32,-13.99
299,Cleveland State,Horizon,,12,23,68.6,74.7,-6.03,,-3.59,,-7.22,-3.55,-10.77,95.68,110.13,-14.45
300,Samford,Southern,,10,22,77.6,82.5,-4.88,,-3.13,,2.67,-13.53,-10.86,104.59,118.56,-13.97
301,Chattanooga,Southern,,10,23,69.4,73.5,-4.09,,-3.87,,-7.71,-3.19,-10.90,95.93,110.08,-14.16
302,Sacred Heart,NEC,,10,21,68.7,72.2,-3.48,,-6.59,,-7.69,-3.29,-10.99,93.70,108.36,-14.66
303,Kennesaw State,A-Sun,,10,20,72.7,77.6,-4.87,,-4.17,,-5.70,-5.32,-11.02,96.31,110.81,-14.50
304,North Florida,A-Sun,,14,19,80.8,87.1,-6.21,,-1.52,,5.09,-16.28,-11.19,103.08,116.97,-13.88
305,Central Connecticut State,NEC,,14,18,67.8,71.9,-4.03,,-7.19,,-8.87,-2.35,-11.22,95.49,110.75,-15.27
306,Cal Poly,Big West,,9,22,67.2,74.3,-7.10,,-1.51,,-6.27,-4.97,-11.24,96.21,111.77,-15.56
307,Western Carolina,Southern,,13,19,68.4,75.6,-7.16,,-1.41,,-6.96,-4.72,-11.68,93.60,108.21,-14.61
308,St. Francis (NY),NEC,,13,18,72.9,76.0,-3.13,,-6.88,,-4.69,-7.13,-11.81,95.29,110.81,-15.51
309,McNeese State,Southland,,12,17,75.3,76.2,-0.86,,-5.88,,-3.23,-8.60,-11.84,96.90,112.03,-15.13
310,Texas A&M-Corpus Christi,Southland,,11,18,67.7,70.9,-3.24,,-6.29,,-9.24,-2.78,-12.02,91.80,107.50,-15.70
311,Bethune-Cookman,MEAC,,18,14,81.9,79.5,2.44,,-12.35,,1.76,-13.84,-12.08,96.14,111.75,-15.61
312,Marist,MAAC,,6,25,72.2,81.1,-8.90,,-3.29,,-3.95,-8.24,-12.19,96.74,112.72,-15.98
313,Southern Illinois-Edwardsville,OVC,,9,21,69.7,78.7,-9.07,,-3.16,,-4.50,-7.73,-12.23,96.06,111.83,-15.77
314,Stetson,A-Sun,,12,20,75.4,78.0,-2.63,,-6.31,,-4.77,-7.46,-12.24,95.69,111.55,-15.86
315,North Carolina A&T,MEAC,,20,14,75.6,74.7,0.91,,-11.26,,-5.25,-7.02,-12.26,95.02,111.30,-16.27
316,Detroit Mercy,Horizon,,8,24,78.6,85.7,-7.09,,-2.05,,1.64,-14.08,-12.45,99.63,114.88,-15.25
317,North Carolina Central,MEAC,,19,15,72.8,69.4,3.32,,-12.30,,-10.38,-2.24,-12.62,94.57,110.64,-16.07
318,Loyola (MD),Patriot,,9,22,69.5,75.0,-5.55,,-5.18,,-6.95,-5.69,-12.64,93.29,110.28,-17.00
319,Norfolk State,MEAC,,14,19,72.7,73.2,-0.55,,-9.90,,-7.91,-4.80,-12.70,92.56,108.93,-16.37
320,Grambling,SWAC,,17,14,72.8,74.9,-2.06,,-10.17,,-6.07,-6.77,-12.84,90.12,106.96,-16.84
321,Cal State Northridge,Big West,,6,24,66.1,73.5,-7.43,,-3.21,,-8.98,-4.20,-13.18,94.52,112.46,-17.94
322,Jacksonville,A-Sun,,15,18,72.9,75.2,-2.33,,-5.98,,-7.82,-5.43,-13.25,91.57,109.23,-17.66
323,Citadel,Southern,,11,21,82.5,88.1,-5.63,,-2.81,,5.85,-19.35,-13.50,98.95,114.21,-15.27
324,Youngstown State,Horizon,,8,24,75.3,82.7,-7.41,,-2.60,,-1.25,-12.45,-13.70,97.28,113.96,-16.68
325,Northern Arizona,Big Sky,,5,27,65.6,78.5,-12.88,,-0.68,,-8.48,-5.84,-14.31,90.81,109.47,-18.67
326,Presbyterian,Big South,,11,21,66.4,71.0,-4.66,,-5.53,,-11.65,-2.67,-14.33,95.07,115.16,-20.10
327,Southern,SWAC,,15,18,69.1,71.8,-2.73,,-9.43,,-9.57,-4.83,-14.40,90.66,109.69,-19.03
328,American,Patriot,,6,24,65.4,73.8,-8.47,,-5.98,,-10.18,-4.27,-14.45,92.27,112.41,-20.14
329,Maine,AEC,,6,26,66.9,75.3,-8.38,,-3.14,,-7.95,-6.56,-14.51,88.28,107.56,-19.28
330,Arkansas-Pine Bluff,SWAC,,14,21,65.9,71.4,-5.49,,-9.19,,-10.50,-4.17,-14.68,90.05,110.76,-20.71
331,Savannah State,MEAC,,15,17,86.1,93.5,-7.41,,-4.68,,9.92,-24.90,-14.98,97.05,113.92,-16.86
332,Virginia Military Institute,Southern,,9,21,65.1,73.8,-8.67,,-4.03,,-11.90,-3.31,-15.21,86.81,106.67,-19.86
333,Morgan State,MEAC,,13,19,72.2,74.8,-2.63,,-11.70,,-7.26,-8.14,-15.40,91.84,111.64,-19.80
334,Houston Baptist,Southland,,6,25,76.8,84.4,-7.58,,-3.67,,-0.37,-15.48,-15.85,95.61,115.21,-19.60
335,Howard,MEAC,,10,23,74.2,80.4,-6.21,,-9.50,,-3.41,-13.61,-17.02,94.80,117.53,-22.73
336,South Carolina Upstate,A-Sun,,7,25,75.8,85.1,-9.34,,-4.19,,-1.11,-16.19,-17.30,101.90,124.92,-23.02
337,Incarnate Word,Southland,,7,21,70.6,77.3,-6.61,,-4.75,,-7.95,-9.47,-17.42,91.27,114.06,-22.79
338,Jackson State,SWAC,,12,20,62.2,67.5,-5.31,,-10.36,,-16.52,-1.00,-17.52,85.40,109.92,-24.52
339,Alcorn State,SWAC,,11,21,70.1,74.6,-4.50,,-8.41,,-9.39,-8.48,-17.88,91.33,115.48,-24.15
340,Longwood,Big South,,7,26,63.3,74.1,-10.82,,-4.29,,-12.72,-5.57,-18.29,86.09,110.74,-24.65
341,Bryant,NEC,,3,28,70.0,83.3,-13.32,,-4.99,,-4.78,-13.54,-18.32,94.84,119.25,-24.41
342,Alabama State,SWAC,,8,23,68.7,78.6,-9.94,,-8.52,,-8.28,-10.18,-18.46,90.73,115.26,-24.53
343,Florida A&M,MEAC,,9,25,68.9,78.9,-10.03,,-8.08,,-9.40,-9.55,-18.96,91.26,116.59,-25.32
344,South Carolina State,MEAC,,10,22,73.6,83.1,-9.53,,-8.50,,-6.23,-13.68,-19.90,92.36,118.34,-25.98
345,Northwestern State,Southland,,4,25,64.4,78.1,-13.66,,-3.87,,-13.60,-7.12,-20.71,84.31,111.48,-27.17
346,Coppin State,MEAC,,5,27,60.8,74.5,-13.72,,-7.04,,-16.00,-4.76,-20.76,82.17,110.32,-28.15
347,Chicago State,WAC,,3,29,67.8,86.1,-18.28,,1.42,,-6.11,-15.17,-21.28,91.20,118.83,-27.63
348,Mississippi Valley State,SWAC,,4,28,64.8,78.1,-13.28,,-8.01,,-11.48,-9.81,-21.29,86.32,115.53,-29.21
349,Alabama A&M,SWAC,,3,28,60.4,76.4,-15.94,,-7.94,,-16.79,-7.09,-23.88,84.03,116.97,-32.95
350,Maryland-Eastern Shore,MEAC,,7,25,62.3,77.3,-15.03,,-7.32,,-16.77,-7.62,-24.39,84.80,119.26,-34.46
351,Delaware State,MEAC,,4,28,63.6,76.8,-13.25,,-9.16,,-14.70,-9.73,-24.43,86.94,120.66,-33.72
